id,timeStamp,baseCurrency,foreignCurrency,open,close,high,low,volume,baseCurrencyNetSentiment,foreignCurrencyNetSentiment,actualMomentum,machinePredictedMomentum
1,"10/15/2018 00:00:00",USD,CHF,0.99078,0.99093,0.99115,0.99075,2270,Neutral,Neutral,P,P
2,"10/15/2018 01:00:00",USD,CHF,0.99095,0.99097,0.99116,0.99049,2403,Neutral,Neutral,P,P
3,"10/15/2018 02:00:00",USD,CHF,0.99096,0.9908,0.99098,0.99059,1764,Neutral,Neutral,P,P
4,"10/15/2018 03:00:00",USD,CHF,0.9908,0.99086,0.99089,0.9905,1561,Neutral,Neutral,P,P
5,"10/15/2018 04:00:00",USD,CHF,0.99087,0.99023,0.99101,0.99016,1858,Neutral,Neutral,P,P
6,"10/15/2018 05:00:00",USD,CHF,0.99023,0.99016,0.99075,0.98989,2505,Neutral,Neutral,P,P
7,"10/15/2018 06:00:00",USD,CHF,0.99016,0.98988,0.99083,0.98978,4830,Neutral,Neutral,P,P
8,"10/15/2018 07:00:00",USD,CHF,0.98988,0.9903,0.99054,0.9895,6644,Neutral,Neutral,P,P
9,"10/15/2018 08:00:00",USD,CHF,0.9903,0.98904,0.99088,0.98904,7058,Neutral,Neutral,P,P
10,"10/15/2018 09:00:00",USD,CHF,0.98903,0.98572,0.98908,0.98477,6995,Neutral,Neutral,P,P
11,"10/15/2018 10:00:00",USD,CHF,0.98572,0.98515,0.98615,0.98491,4664,Neutral,Neutral,P,P
12,"10/15/2018 11:00:00",USD,CHF,0.98515,0.98693,0.98695,0.98505,4513,Neutral,Neutral,P,P
13,"10/15/2018 12:00:00",USD,CHF,0.98693,0.98548,0.98705,0.98541,5155,Neutral,Neutral,P,P
14,"10/15/2018 13:00:00",USD,CHF,0.98549,0.98536,0.98657,0.98536,6319,Neutral,Neutral,P,P
15,"10/15/2018 14:00:00",USD,CHF,0.98537,0.9877,0.98793,0.98528,7344,Neutral,Neutral,P,P
16,"10/15/2018 15:00:00",USD,CHF,0.98768,0.98682,0.98794,0.98674,4963,Neutral,Neutral,P,P
17,"10/15/2018 16:00:00",USD,CHF,0.98682,0.9873,0.98767,0.98671,3123,Neutral,Neutral,P,P
18,"10/15/2018 17:00:00",USD,CHF,0.98728,0.98821,0.98826,0.98728,4326,Neutral,Neutral,P,P
19,"10/15/2018 18:00:00",USD,CHF,0.98824,0.98731,0.9883,0.98721,3372,Neutral,Neutral,P,P
20,"10/15/2018 19:00:00",USD,CHF,0.9873,0.98714,0.98741,0.98697,2921,Neutral,Neutral,P,P
21,"10/15/2018 20:00:00",USD,CHF,0.98714,0.98696,0.98714,0.9867,1348,Neutral,Neutral,P,P
22,"10/15/2018 21:00:00",USD,CHF,0.987,0.98702,0.98752,0.98687,1812,Neutral,Neutral,P,P
23,"10/15/2018 22:00:00",USD,CHF,0.98702,0.98692,0.98714,0.98674,1225,Neutral,Neutral,P,P
24,"10/15/2018 23:00:00",USD,CHF,0.98691,0.987,0.98702,0.98691,764,Neutral,Neutral,P,P
25,"10/16/2018 00:00:00",USD,CHF,0.987,0.98655,0.98724,0.98647,2625,Neutral,Neutral,P,P
26,"10/16/2018 01:00:00",USD,CHF,0.98654,0.98741,0.98752,0.98653,3416,Neutral,Neutral,P,P
27,"10/16/2018 02:00:00",USD,CHF,0.98742,0.98825,0.98832,0.98741,2522,Neutral,Neutral,P,P
28,"10/16/2018 03:00:00",USD,CHF,0.98825,0.98834,0.98848,0.98781,2902,Neutral,Neutral,P,P
29,"10/16/2018 04:00:00",USD,CHF,0.98834,0.98869,0.98869,0.9883,1642,Neutral,Neutral,P,P
30,"10/16/2018 05:00:00",USD,CHF,0.98869,0.98952,0.98977,0.98869,3203,Neutral,Neutral,P,P
31,"10/16/2018 06:00:00",USD,CHF,0.98952,0.98843,0.98957,0.98835,3597,Neutral,Neutral,P,P
32,"10/16/2018 07:00:00",USD,CHF,0.98845,0.98744,0.98892,0.98684,6277,Neutral,Neutral,P,P
33,"10/16/2018 08:00:00",USD,CHF,0.98748,0.98742,0.98848,0.98734,3832,Neutral,Neutral,P,P
34,"10/16/2018 09:00:00",USD,CHF,0.98741,0.98876,0.98915,0.98739,4005,Neutral,Neutral,P,P
35,"10/16/2018 10:00:00",USD,CHF,0.98876,0.98796,0.98934,0.98746,4266,Neutral,Neutral,P,P
36,"10/16/2018 11:00:00",USD,CHF,0.98796,0.98738,0.98807,0.98721,3543,Neutral,Neutral,P,P
37,"10/16/2018 12:00:00",USD,CHF,0.98737,0.98803,0.98817,0.98723,4430,Neutral,Neutral,P,P
38,"10/16/2018 13:00:00",USD,CHF,0.98804,0.989,0.98915,0.98588,6595,Neutral,Neutral,P,P
39,"10/16/2018 14:00:00",USD,CHF,0.989,0.98964,0.99015,0.9887,5622,Neutral,Neutral,P,P
40,"10/16/2018 15:00:00",USD,CHF,0.98966,0.98937,0.99087,0.98924,4181,Neutral,Neutral,P,P
41,"10/16/2018 16:00:00",USD,CHF,0.98936,0.9896,0.9904,0.98933,3195,Neutral,Neutral,P,P
42,"10/16/2018 17:00:00",USD,CHF,0.9896,0.99051,0.99054,0.98932,2388,Neutral,Neutral,P,P
43,"10/16/2018 18:00:00",USD,CHF,0.99052,0.98991,0.9907,0.98989,2109,Neutral,Neutral,P,P
44,"10/16/2018 19:00:00",USD,CHF,0.98992,0.99008,0.99011,0.98979,1758,Neutral,Neutral,P,P
45,"10/16/2018 20:00:00",USD,CHF,0.99007,0.99061,0.99069,0.98983,1845,Neutral,Neutral,P,P
46,"10/16/2018 21:00:00",USD,CHF,0.99059,0.99031,0.99071,0.98982,1867,Neutral,Neutral,P,P
47,"10/16/2018 22:00:00",USD,CHF,0.9903,0.99041,0.99057,0.99008,828,Neutral,Neutral,P,P
48,"10/16/2018 23:00:00",USD,CHF,0.99038,0.99038,0.99068,0.98999,1169,Neutral,Neutral,P,P
49,"10/17/2018 00:00:00",USD,CHF,0.99037,0.99058,0.99067,0.9902,1836,Neutral,Neutral,P,P
50,"10/17/2018 01:00:00",USD,CHF,0.99058,0.9909,0.99106,0.99058,1795,Neutral,Neutral,P,P
51,"10/17/2018 02:00:00",USD,CHF,0.9909,0.99128,0.99138,0.99059,1778,Neutral,Neutral,P,P
52,"10/17/2018 03:00:00",USD,CHF,0.99129,0.99148,0.99169,0.99115,1566,Neutral,Neutral,P,P
53,"10/17/2018 04:00:00",USD,CHF,0.99147,0.99142,0.99154,0.99112,1551,Neutral,Neutral,P,P
54,"10/17/2018 05:00:00",USD,CHF,0.99143,0.99116,0.99174,0.9908,2592,Neutral,Neutral,P,P
55,"10/17/2018 06:00:00",USD,CHF,0.99116,0.99072,0.99144,0.99068,3933,Neutral,Neutral,P,P
56,"10/17/2018 07:00:00",USD,CHF,0.99072,0.99102,0.9914,0.99023,4920,Neutral,Neutral,P,P
57,"10/17/2018 08:00:00",USD,CHF,0.99102,0.99107,0.99149,0.99026,4726,Neutral,Neutral,P,P
58,"10/17/2018 09:00:00",USD,CHF,0.99108,0.99224,0.99269,0.99101,3934,Neutral,Neutral,P,P
59,"10/17/2018 10:00:00",USD,CHF,0.99224,0.99323,0.99333,0.99116,4546,Neutral,Neutral,P,P
60,"10/17/2018 11:00:00",USD,CHF,0.99323,0.99363,0.99387,0.99258,5519,Neutral,Neutral,P,P
61,"10/17/2018 12:00:00",USD,CHF,0.99362,0.99199,0.99365,0.99175,4414,Neutral,Neutral,P,P
62,"10/17/2018 13:00:00",USD,CHF,0.99199,0.99259,0.9928,0.99175,5494,Neutral,Neutral,P,P
63,"10/17/2018 14:00:00",USD,CHF,0.99257,0.99248,0.99311,0.9915,6392,Neutral,Neutral,P,P
64,"10/17/2018 15:00:00",USD,CHF,0.99249,0.99265,0.99309,0.99168,5119,Neutral,Neutral,P,P
65,"10/17/2018 16:00:00",USD,CHF,0.99264,0.99292,0.99303,0.99227,4702,Neutral,Neutral,P,P
66,"10/17/2018 17:00:00",USD,CHF,0.99294,0.99469,0.99491,0.9929,4458,Neutral,Neutral,P,P
67,"10/17/2018 18:00:00",USD,CHF,0.9947,0.99491,0.99496,0.99411,5035,Neutral,Neutral,P,P
68,"10/17/2018 19:00:00",USD,CHF,0.99491,0.99496,0.99523,0.99468,3834,Neutral,Neutral,P,P
69,"10/17/2018 20:00:00",USD,CHF,0.99496,0.99521,0.99542,0.99493,1447,Neutral,Neutral,P,P
70,"10/17/2018 21:00:00",USD,CHF,0.9952,0.99459,0.99532,0.9943,1778,Neutral,Neutral,P,P
71,"10/17/2018 22:00:00",USD,CHF,0.99459,0.99519,0.99526,0.99459,1867,Neutral,Neutral,P,P
72,"10/17/2018 23:00:00",USD,CHF,0.99519,0.99473,0.99566,0.99465,1873,Neutral,Neutral,P,P
73,"10/18/2018 00:00:00",USD,CHF,0.99473,0.99458,0.99502,0.99452,2638,Neutral,Neutral,P,P
74,"10/18/2018 01:00:00",USD,CHF,0.99459,0.99481,0.99501,0.99446,2496,Neutral,Neutral,P,P
75,"10/18/2018 02:00:00",USD,CHF,0.99482,0.99457,0.99511,0.99441,2246,Neutral,Neutral,P,P
76,"10/18/2018 03:00:00",USD,CHF,0.99457,0.99466,0.9948,0.99446,1257,Neutral,Neutral,P,P
77,"10/18/2018 04:00:00",USD,CHF,0.99466,0.99475,0.99502,0.99451,1743,Neutral,Neutral,P,P
78,"10/18/2018 05:00:00",USD,CHF,0.99472,0.99522,0.99535,0.99459,2098,Neutral,Neutral,P,P
79,"10/18/2018 06:00:00",USD,CHF,0.99524,0.99528,0.99588,0.99504,3745,Neutral,Neutral,P,P
80,"10/18/2018 07:00:00",USD,CHF,0.9953,0.99289,0.99552,0.99289,4937,Neutral,Neutral,P,P
81,"10/18/2018 08:00:00",USD,CHF,0.99286,0.99363,0.99409,0.99253,4779,Neutral,Neutral,P,P
82,"10/18/2018 09:00:00",USD,CHF,0.99363,0.99283,0.99414,0.99273,4197,Neutral,Neutral,P,P
83,"10/18/2018 10:00:00",USD,CHF,0.99282,0.99241,0.99318,0.99199,3490,Neutral,Neutral,P,P
84,"10/18/2018 11:00:00",USD,CHF,0.99243,0.99385,0.99428,0.99206,3905,Neutral,Neutral,P,P
85,"10/18/2018 12:00:00",USD,CHF,0.99386,0.99645,0.9968,0.99382,4600,Neutral,Neutral,P,P
86,"10/18/2018 13:00:00",USD,CHF,0.99646,0.99562,0.99747,0.99543,5609,Neutral,Neutral,P,P
87,"10/18/2018 14:00:00",USD,CHF,0.99566,0.99545,0.99663,0.99534,5928,Neutral,Neutral,P,P
88,"10/18/2018 15:00:00",USD,CHF,0.99544,0.99414,0.99557,0.99389,7703,Neutral,Neutral,P,P
89,"10/18/2018 16:00:00",USD,CHF,0.99413,0.99446,0.99526,0.99345,7138,Neutral,Neutral,P,P
90,"10/18/2018 17:00:00",USD,CHF,0.99447,0.99558,0.99564,0.99447,6369,Neutral,Neutral,P,P
91,"10/18/2018 18:00:00",USD,CHF,0.99557,0.99542,0.9963,0.99528,6383,Neutral,Neutral,P,P
92,"10/18/2018 19:00:00",USD,CHF,0.9954,0.99589,0.99605,0.99493,6129,Neutral,Neutral,P,P
93,"10/18/2018 20:00:00",USD,CHF,0.99589,0.9956,0.99589,0.99532,1568,Neutral,Neutral,P,P
94,"10/18/2018 21:00:00",USD,CHF,0.99559,0.99539,0.9958,0.99502,1400,Neutral,Neutral,P,P
95,"10/18/2018 22:00:00",USD,CHF,0.99539,0.99575,0.99576,0.99536,587,Neutral,Neutral,P,P
96,"10/18/2018 23:00:00",USD,CHF,0.99575,0.99582,0.99585,0.99555,558,Neutral,Neutral,P,P
97,"10/19/2018 00:00:00",USD,CHF,0.99581,0.99694,0.99701,0.99579,2413,Neutral,Neutral,P,P
98,"10/19/2018 01:00:00",USD,CHF,0.99693,0.99693,0.99722,0.99665,3314,Neutral,Neutral,P,P
99,"10/19/2018 02:00:00",USD,CHF,0.99692,0.99673,0.99712,0.99667,2658,Neutral,Neutral,P,P
100,"10/19/2018 03:00:00",USD,CHF,0.99674,0.99612,0.9968,0.9961,1409,Neutral,Neutral,P,P
101,"10/19/2018 04:00:00",USD,CHF,0.99611,0.99616,0.99649,0.99599,1410,Neutral,Neutral,P,P
102,"10/19/2018 05:00:00",USD,CHF,0.99615,0.99638,0.99656,0.99612,2049,Neutral,Neutral,P,P
103,"10/19/2018 06:00:00",USD,CHF,0.99637,0.99595,0.99709,0.99572,3961,Neutral,Neutral,P,P
104,"10/19/2018 07:00:00",USD,CHF,0.99596,0.99712,0.99763,0.99592,4947,Neutral,Neutral,P,P
105,"10/19/2018 08:00:00",USD,CHF,0.99711,0.99613,0.99724,0.99583,5425,Neutral,Neutral,P,P
106,"10/19/2018 09:00:00",USD,CHF,0.99614,0.99522,0.9962,0.99509,4488,Neutral,Neutral,P,P
107,"10/19/2018 10:00:00",USD,CHF,0.99523,0.99601,0.99612,0.99495,4326,Neutral,Neutral,P,P
108,"10/19/2018 11:00:00",USD,CHF,0.99601,0.99596,0.99652,0.99539,4867,Neutral,Neutral,P,P
109,"10/19/2018 12:00:00",USD,CHF,0.99595,0.99646,0.99648,0.99523,5152,Neutral,Neutral,P,P
110,"10/19/2018 13:00:00",USD,CHF,0.99644,0.9956,0.99647,0.99545,6034,Neutral,Neutral,P,P
111,"10/19/2018 14:00:00",USD,CHF,0.9956,0.99672,0.99674,0.99555,6166,Neutral,Neutral,P,P
112,"10/19/2018 15:00:00",USD,CHF,0.99673,0.99689,0.99699,0.99611,5942,Neutral,Neutral,P,P
113,"10/19/2018 16:00:00",USD,CHF,0.99691,0.9967,0.9977,0.99613,6470,Neutral,Neutral,P,P
114,"10/19/2018 17:00:00",USD,CHF,0.99666,0.99733,0.99773,0.99654,6244,Neutral,Neutral,P,P
115,"10/19/2018 18:00:00",USD,CHF,0.99734,0.99711,0.99755,0.99686,4869,Neutral,Neutral,P,P
116,"10/19/2018 19:00:00",USD,CHF,0.99711,0.99729,0.99751,0.9971,3364,Neutral,Neutral,P,P
117,"10/19/2018 20:00:00",USD,CHF,0.9973,0.99598,0.99736,0.99543,1713,Neutral,Neutral,P,P
118,"10/21/2018 21:00:00",USD,CHF,0.99524,0.99467,0.99703,0.99448,1376,Neutral,Neutral,P,P
119,"10/21/2018 22:00:00",USD,CHF,0.99471,0.99644,0.99654,0.99471,797,Neutral,Neutral,P,P
120,"10/21/2018 23:00:00",USD,CHF,0.99644,0.99632,0.9966,0.99624,843,Neutral,Neutral,P,P
121,"10/22/2018 00:00:00",USD,CHF,0.99631,0.99673,0.997,0.99602,2667,Neutral,Neutral,P,P
122,"10/22/2018 01:00:00",USD,CHF,0.99673,0.99654,0.99704,0.99653,2131,Neutral,Neutral,P,P
123,"10/22/2018 02:00:00",USD,CHF,0.99655,0.99683,0.99685,0.9964,1535,Neutral,Neutral,P,P
124,"10/22/2018 03:00:00",USD,CHF,0.99684,0.99605,0.99687,0.99595,1493,Neutral,Neutral,P,P
125,"10/22/2018 04:00:00",USD,CHF,0.99605,0.99647,0.99654,0.99597,1186,Neutral,Neutral,P,P
126,"10/22/2018 05:00:00",USD,CHF,0.99648,0.99675,0.99709,0.99645,1662,Neutral,Neutral,P,P
127,"10/22/2018 06:00:00",USD,CHF,0.99678,0.99606,0.99689,0.99503,4627,Neutral,Neutral,P,P
128,"10/22/2018 07:00:00",USD,CHF,0.99606,0.99465,0.99607,0.99395,4325,Neutral,Neutral,P,P
129,"10/22/2018 08:00:00",USD,CHF,0.99465,0.99693,0.99734,0.99435,4145,Neutral,Neutral,P,P
130,"10/22/2018 09:00:00",USD,CHF,0.99692,0.99766,0.99779,0.99682,2705,Neutral,Neutral,P,P
131,"10/22/2018 10:00:00",USD,CHF,0.99767,0.99729,0.99799,0.9969,3804,Neutral,Neutral,P,P
132,"10/22/2018 11:00:00",USD,CHF,0.99729,0.99705,0.99734,0.99624,4319,Neutral,Neutral,P,P
133,"10/22/2018 12:00:00",USD,CHF,0.99704,0.99666,0.99709,0.99587,5179,Neutral,Neutral,P,P
134,"10/22/2018 13:00:00",USD,CHF,0.99663,0.99596,0.99685,0.99571,5979,Neutral,Neutral,P,P
135,"10/22/2018 14:00:00",USD,CHF,0.99597,0.99677,0.9974,0.9959,5772,Neutral,Neutral,P,P
136,"10/22/2018 15:00:00",USD,CHF,0.99676,0.99638,0.99755,0.99601,4837,Neutral,Neutral,P,P
137,"10/22/2018 16:00:00",USD,CHF,0.99638,0.99673,0.99743,0.99628,4601,Neutral,Neutral,P,P
138,"10/22/2018 17:00:00",USD,CHF,0.99674,0.9956,0.99703,0.9956,3745,Neutral,Neutral,P,P
139,"10/22/2018 18:00:00",USD,CHF,0.9956,0.99606,0.99609,0.99546,2929,Neutral,Neutral,P,P
140,"10/22/2018 19:00:00",USD,CHF,0.99606,0.99619,0.99624,0.99591,2592,Neutral,Neutral,P,P
141,"10/22/2018 20:00:00",USD,CHF,0.99616,0.99563,0.99624,0.99563,1222,Neutral,Neutral,P,P
142,"10/22/2018 21:00:00",USD,CHF,0.99561,0.99594,0.99656,0.99561,2349,Neutral,Neutral,P,P
143,"10/22/2018 22:00:00",USD,CHF,0.99593,0.99604,0.99626,0.99572,1223,Neutral,Neutral,P,P
144,"10/22/2018 23:00:00",USD,CHF,0.99604,0.99605,0.99636,0.99587,1029,Neutral,Neutral,P,P
145,"10/23/2018 00:00:00",USD,CHF,0.99605,0.99628,0.99643,0.99596,1563,Neutral,Neutral,P,P
146,"10/23/2018 01:00:00",USD,CHF,0.99629,0.99625,0.99655,0.99597,1484,Neutral,Neutral,P,P
147,"10/23/2018 02:00:00",USD,CHF,0.99624,0.99673,0.99683,0.99623,1008,Neutral,Neutral,P,P
148,"10/23/2018 03:00:00",USD,CHF,0.99672,0.9964,0.9968,0.99622,1499,Neutral,Neutral,P,P
149,"10/23/2018 04:00:00",USD,CHF,0.9964,0.99628,0.99649,0.99623,1221,Neutral,Neutral,P,P
150,"10/23/2018 05:00:00",USD,CHF,0.99629,0.99634,0.99652,0.99615,1556,Neutral,Neutral,P,P
151,"10/23/2018 06:00:00",USD,CHF,0.99637,0.99566,0.997,0.99555,5504,Neutral,Neutral,P,P
152,"10/23/2018 07:00:00",USD,CHF,0.99566,0.99526,0.99622,0.99519,5692,Neutral,Neutral,P,P
153,"10/23/2018 08:00:00",USD,CHF,0.99526,0.99506,0.99658,0.99493,5192,Neutral,Neutral,P,P
154,"10/23/2018 09:00:00",USD,CHF,0.99507,0.99411,0.99525,0.99406,3978,Neutral,Neutral,P,P
155,"10/23/2018 10:00:00",USD,CHF,0.99411,0.99586,0.99586,0.99404,4042,Neutral,Neutral,P,P
156,"10/23/2018 11:00:00",USD,CHF,0.99584,0.99532,0.99615,0.99478,4667,Neutral,Neutral,P,P
157,"10/23/2018 12:00:00",USD,CHF,0.99532,0.9959,0.99628,0.99472,5049,Neutral,Neutral,P,P
158,"10/23/2018 13:00:00",USD,CHF,0.99591,0.99477,0.99595,0.9945,6031,Neutral,Neutral,P,P
159,"10/23/2018 14:00:00",USD,CHF,0.99478,0.99512,0.99575,0.99458,6195,Neutral,Neutral,P,P
160,"10/23/2018 15:00:00",USD,CHF,0.99514,0.99429,0.99528,0.99398,5840,Neutral,Neutral,P,P
161,"10/23/2018 16:00:00",USD,CHF,0.99429,0.99474,0.99506,0.99378,5465,Neutral,Neutral,P,P
162,"10/23/2018 17:00:00",USD,CHF,0.99474,0.99421,0.99494,0.99402,5123,Neutral,Neutral,P,P
163,"10/23/2018 18:00:00",USD,CHF,0.99421,0.99572,0.99588,0.99375,6573,Neutral,Neutral,P,P
164,"10/23/2018 19:00:00",USD,CHF,0.99575,0.99507,0.99578,0.99499,3388,Neutral,Neutral,P,P
165,"10/23/2018 20:00:00",USD,CHF,0.99507,0.99476,0.99528,0.99467,1010,Neutral,Neutral,P,P
166,"10/23/2018 21:00:00",USD,CHF,0.99472,0.99478,0.9951,0.99465,1368,Neutral,Neutral,P,P
167,"10/23/2018 22:00:00",USD,CHF,0.99478,0.99444,0.99513,0.99442,1013,Neutral,Neutral,P,P
168,"10/23/2018 23:00:00",USD,CHF,0.99445,0.99483,0.99504,0.99432,1440,Neutral,Neutral,P,P
169,"10/24/2018 00:00:00",USD,CHF,0.99484,0.99544,0.99545,0.99462,1826,Neutral,Neutral,P,P
170,"10/24/2018 01:00:00",USD,CHF,0.99546,0.9956,0.99563,0.99486,2060,Neutral,Neutral,P,P
171,"10/24/2018 02:00:00",USD,CHF,0.9956,0.99503,0.99567,0.99479,2014,Neutral,Neutral,P,P
172,"10/24/2018 03:00:00",USD,CHF,0.99503,0.99519,0.99532,0.99473,1588,Neutral,Neutral,P,P
173,"10/24/2018 04:00:00",USD,CHF,0.9952,0.99487,0.99524,0.99481,1359,Neutral,Neutral,P,P
174,"10/24/2018 05:00:00",USD,CHF,0.99487,0.99533,0.99537,0.99485,1669,Neutral,Neutral,P,P
175,"10/24/2018 06:00:00",USD,CHF,0.99533,0.99495,0.99572,0.99465,4334,Neutral,Neutral,P,P
176,"10/24/2018 07:00:00",USD,CHF,0.99496,0.99662,0.99693,0.99415,6491,Neutral,Neutral,P,P
177,"10/24/2018 08:00:00",USD,CHF,0.99663,0.9972,0.99752,0.99626,5791,Neutral,Neutral,P,P
178,"10/24/2018 09:00:00",USD,CHF,0.9972,0.9969,0.99727,0.99661,3878,Neutral,Neutral,P,P
179,"10/24/2018 10:00:00",USD,CHF,0.9969,0.9967,0.99762,0.99647,4580,Neutral,Neutral,P,P
180,"10/24/2018 11:00:00",USD,CHF,0.9967,0.99796,0.99808,0.99656,4590,Neutral,Neutral,P,P
181,"10/24/2018 12:00:00",USD,CHF,0.99796,0.99792,0.99884,0.99758,5712,Neutral,Neutral,P,P
182,"10/24/2018 13:00:00",USD,CHF,0.99792,0.99846,0.99858,0.99771,4412,Neutral,Neutral,P,P
183,"10/24/2018 14:00:00",USD,CHF,0.99845,0.99782,0.99847,0.99651,6347,Neutral,Neutral,P,P
184,"10/24/2018 15:00:00",USD,CHF,0.99781,0.99817,0.99835,0.99677,5961,Neutral,Neutral,P,P
185,"10/24/2018 16:00:00",USD,CHF,0.99817,0.9977,0.99832,0.99703,6955,Neutral,Neutral,P,P
186,"10/24/2018 17:00:00",USD,CHF,0.9977,0.99724,0.99892,0.99724,6735,Neutral,Neutral,P,P
187,"10/24/2018 18:00:00",USD,CHF,0.99723,0.99721,0.99791,0.9971,4964,Neutral,Neutral,P,P
188,"10/24/2018 19:00:00",USD,CHF,0.99721,0.99689,0.99761,0.99666,6258,Neutral,Neutral,P,P
189,"10/24/2018 20:00:00",USD,CHF,0.99689,0.99778,0.99785,0.99689,1771,Neutral,Neutral,P,P
190,"10/24/2018 21:00:00",USD,CHF,0.99777,0.99723,0.99777,0.99606,1562,Neutral,Neutral,P,P
191,"10/24/2018 22:00:00",USD,CHF,0.9972,0.99699,0.99736,0.99673,634,Neutral,Neutral,P,P
192,"10/24/2018 23:00:00",USD,CHF,0.99701,0.9968,0.99738,0.99668,1457,Neutral,Neutral,P,P
193,"10/25/2018 00:00:00",USD,CHF,0.9968,0.99669,0.99708,0.99661,2726,Neutral,Neutral,P,P
194,"10/25/2018 01:00:00",USD,CHF,0.99669,0.99614,0.99684,0.99603,1991,Neutral,Neutral,P,P
195,"10/25/2018 02:00:00",USD,CHF,0.99614,0.99614,0.99654,0.99602,1415,Neutral,Neutral,P,P
196,"10/25/2018 03:00:00",USD,CHF,0.99615,0.99604,0.99622,0.99602,1067,Neutral,Neutral,P,P
197,"10/25/2018 04:00:00",USD,CHF,0.99604,0.99629,0.99663,0.99601,2074,Neutral,Neutral,P,P
198,"10/25/2018 05:00:00",USD,CHF,0.99629,0.99574,0.99654,0.99561,1787,Neutral,Neutral,P,P
199,"10/25/2018 06:00:00",USD,CHF,0.99579,0.99644,0.99687,0.99546,4401,Neutral,Neutral,P,P
